"ID","day","Dataset","x","ps","interval","fate"
1,1,"1",-0.0167208613148965,0.968975947095183,1,1
2,1,"1",-0.0167208613148965,0.968975947095183,1,1
3,1,"1",-0.0167208613148965,0.968975947095183,1,1
4,1,"1",-0.0167208613148965,0.968975947095183,1,1
5,1,"1",-0.0167208613148965,0.968975947095183,1,1
6,1,"1",-0.0167208613148965,0.968975947095183,1,1
7,1,"1",-0.0167208613148965,0.968975947095183,1,1
8,1,"1",-0.0167208613148965,0.968975947095183,1,1
9,1,"1",-0.0167208613148965,0.968975947095183,1,1
10,1,"1",-0.0167208613148965,0.968975947095183,1,1
11,1,"1",-0.0167208613148965,0.968975947095183,1,1
12,1,"1",-0.0167208613148965,0.968975947095183,1,1
13,1,"1",-0.0167208613148965,0.968975947095183,1,1
14,1,"1",-0.0167208613148965,0.968975947095183,1,1
15,1,"1",-0.0167208613148965,0.968975947095183,1,1
16,1,"1",-0.0167208613148965,0.968975947095183,1,1
17,1,"1",-0.0167208613148965,0.968975947095183,1,1
18,1,"1",-0.0167208613148965,0.968975947095183,1,0
19,1,"1",-0.0167208613148965,0.968975947095183,1,1
20,1,"1",-0.0167208613148965,0.968975947095183,1,1
21,1,"1",-0.0167208613148965,0.968975947095183,1,1
22,1,"1",-0.0167208613148965,0.968975947095183,1,1
23,1,"1",-0.0167208613148965,0.968975947095183,1,1
24,1,"1",-0.0167208613148965,0.968975947095183,1,1
25,1,"1",-0.0167208613148965,0.968975947095183,1,1
26,1,"1",-0.0167208613148965,0.968975947095183,1,1
27,1,"1",-0.0167208613148965,0.968975947095183,1,1
28,1,"1",-0.0167208613148965,0.968975947095183,1,1
29,1,"1",-0.0167208613148965,0.968975947095183,1,1
30,1,"1",-0.0167208613148965,0.968975947095183,1,1
1,2,"1",-0.00821769999825038,0.969858231790511,1,1
2,2,"1",-0.00821769999825038,0.969858231790511,1,1
3,2,"1",-0.00821769999825038,0.969858231790511,1,1
4,2,"1",-0.00821769999825038,0.969858231790511,1,1
5,2,"1",-0.00821769999825038,0.969858231790511,1,1
6,2,"1",-0.00821769999825038,0.969858231790511,1,1
7,2,"1",-0.00821769999825038,0.969858231790511,1,1
8,2,"1",-0.00821769999825038,0.969858231790511,1,1
9,2,"1",-0.00821769999825038,0.969858231790511,1,1
10,2,"1",-0.00821769999825038,0.969858231790511,1,1
11,2,"1",-0.00821769999825038,0.969858231790511,1,1
12,2,"1",-0.00821769999825038,0.969858231790511,1,1
13,2,"1",-0.00821769999825038,0.969858231790511,1,1
14,2,"1",-0.00821769999825038,0.969858231790511,1,1
15,2,"1",-0.00821769999825038,0.969858231790511,1,1
16,2,"1",-0.00821769999825038,0.969858231790511,1,1
17,2,"1",-0.00821769999825038,0.969858231790511,1,1
18,2,"1",-0.00821769999825038,0.969858231790511,1,0
19,2,"1",-0.00821769999825038,0.969858231790511,1,1
20,2,"1",-0.00821769999825038,0.969858231790511,1,1
21,2,"1",-0.00821769999825038,0.969858231790511,1,1
22,2,"1",-0.00821769999825038,0.969858231790511,1,1
23,2,"1",-0.00821769999825038,0.969858231790511,1,1
24,2,"1",-0.00821769999825038,0.969858231790511,1,1
25,2,"1",-0.00821769999825038,0.969858231790511,1,1
26,2,"1",-0.00821769999825038,0.969858231790511,1,1
27,2,"1",-0.00821769999825038,0.969858231790511,1,1
28,2,"1",-0.00821769999825038,0.969858231790511,1,1
29,2,"1",-0.00821769999825038,0.969858231790511,1,1
30,2,"1",-0.00821769999825038,0.969858231790511,1,1
1,3,"1",-0.0179272450432954,0.968848765218127,1,1
2,3,"1",-0.0179272450432954,0.968848765218127,1,1
3,3,"1",-0.0179272450432954,0.968848765218127,1,1
4,3,"1",-0.0179272450432954,0.968848765218127,1,1
5,3,"1",-0.0179272450432954,0.968848765218127,1,1
6,3,"1",-0.0179272450432954,0.968848765218127,1,1
7,3,"1",-0.0179272450432954,0.968848765218127,1,1
8,3,"1",-0.0179272450432954,0.968848765218127,1,1
9,3,"1",-0.0179272450432954,0.968848765218127,1,1
10,3,"1",-0.0179272450432954,0.968848765218127,1,1
11,3,"1",-0.0179272450432954,0.968848765218127,1,1
12,3,"1",-0.0179272450432954,0.968848765218127,1,1
13,3,"1",-0.0179272450432954,0.968848765218127,1,1
14,3,"1",-0.0179272450432954,0.968848765218127,1,1
15,3,"1",-0.0179272450432954,0.968848765218127,1,1
16,3,"1",-0.0179272450432954,0.968848765218127,1,1
17,3,"1",-0.0179272450432954,0.968848765218127,1,1
18,3,"1",-0.0179272450432954,0.968848765218127,1,0
19,3,"1",-0.0179272450432954,0.968848765218127,1,1
20,3,"1",-0.0179272450432954,0.968848765218127,1,1
21,3,"1",-0.0179272450432954,0.968848765218127,1,1
22,3,"1",-0.0179272450432954,0.968848765218127,1,1
23,3,"1",-0.0179272450432954,0.968848765218127,1,1
24,3,"1",-0.0179272450432954,0.968848765218127,1,1
25,3,"1",-0.0179272450432954,0.968848765218127,1,1
26,3,"1",-0.0179272450432954,0.968848765218127,1,1
27,3,"1",-0.0179272450432954,0.968848765218127,1,1
28,3,"1",-0.0179272450432954,0.968848765218127,1,1
29,3,"1",-0.0179272450432954,0.968848765218127,1,1
30,3,"1",-0.0179272450432954,0.968848765218127,1,1
1,4,"1",0.00671228731722851,0.971348875465144,2,0
2,4,"1",0.00671228731722851,0.971348875465144,2,1
3,4,"1",0.00671228731722851,0.971348875465144,2,1
4,4,"1",0.00671228731722851,0.971348875465144,2,1
5,4,"1",0.00671228731722851,0.971348875465144,2,1
6,4,"1",0.00671228731722851,0.971348875465144,2,1
7,4,"1",0.00671228731722851,0.971348875465144,2,1
8,4,"1",0.00671228731722851,0.971348875465144,2,1
9,4,"1",0.00671228731722851,0.971348875465144,2,1
10,4,"1",0.00671228731722851,0.971348875465144,2,1
11,4,"1",0.00671228731722851,0.971348875465144,2,1
12,4,"1",0.00671228731722851,0.971348875465144,2,1
13,4,"1",0.00671228731722851,0.971348875465144,2,1
14,4,"1",0.00671228731722851,0.971348875465144,2,0
15,4,"1",0.00671228731722851,0.971348875465144,2,1
16,4,"1",0.00671228731722851,0.971348875465144,2,1
17,4,"1",0.00671228731722851,0.971348875465144,2,1
19,4,"1",0.00671228731722851,0.971348875465144,2,0
20,4,"1",0.00671228731722851,0.971348875465144,2,1
21,4,"1",0.00671228731722851,0.971348875465144,2,0
22,4,"1",0.00671228731722851,0.971348875465144,2,1
23,4,"1",0.00671228731722851,0.971348875465144,2,1
24,4,"1",0.00671228731722851,0.971348875465144,2,1
25,4,"1",0.00671228731722851,0.971348875465144,2,1
26,4,"1",0.00671228731722851,0.971348875465144,2,1
27,4,"1",0.00671228731722851,0.971348875465144,2,1
28,4,"1",0.00671228731722851,0.971348875465144,2,1
29,4,"1",0.00671228731722851,0.971348875465144,2,1
30,4,"1",0.00671228731722851,0.971348875465144,2,1
1,5,"1",-0.00545135630580275,0.970139989978705,2,0
2,5,"1",-0.00545135630580275,0.970139989978705,2,1
3,5,"1",-0.00545135630580275,0.970139989978705,2,1
4,5,"1",-0.00545135630580275,0.970139989978705,2,1
5,5,"1",-0.00545135630580275,0.970139989978705,2,1
6,5,"1",-0.00545135630580275,0.970139989978705,2,1
7,5,"1",-0.00545135630580275,0.970139989978705,2,1
8,5,"1",-0.00545135630580275,0.970139989978705,2,1
9,5,"1",-0.00545135630580275,0.970139989978705,2,1
10,5,"1",-0.00545135630580275,0.970139989978705,2,1
11,5,"1",-0.00545135630580275,0.970139989978705,2,1
12,5,"1",-0.00545135630580275,0.970139989978705,2,1
13,5,"1",-0.00545135630580275,0.970139989978705,2,1
14,5,"1",-0.00545135630580275,0.970139989978705,2,0
15,5,"1",-0.00545135630580275,0.970139989978705,2,1
16,5,"1",-0.00545135630580275,0.970139989978705,2,1
17,5,"1",-0.00545135630580275,0.970139989978705,2,1
19,5,"1",-0.00545135630580275,0.970139989978705,2,0
20,5,"1",-0.00545135630580275,0.970139989978705,2,1
21,5,"1",-0.00545135630580275,0.970139989978705,2,0
