"","zvalue","Mean","p","p_cat","direction","p_dir","Model"
"1","z.b9[1]",1,0,"s","positive",0,"Model1_TotalExposure"
"2","z.b9[2]",0.811632996632997,0.188367003367003,"ns","positive",NA,"Model1_TotalExposure"
"3","z.b9[3]",0.356861952861953,0.356861952861953,"ns","negative",NA,"Model1_TotalExposure"
"4","z.b9[4]",0.992161616161616,0.00783838383838387,"s","positive",0.00783838383838387,"Model1_TotalExposure"
"5","z.b9[5]",0.587878787878788,0.412121212121212,"ns","positive",NA,"Model1_TotalExposure"
"6","SST",0,0,"s","negative",0,"Model1_TotalExposure"
"7","WavePower",0,0,"s","negative",0,"Model1_TotalExposure"
"8","StipeNum",1,0,"s","positive",0,"Model1_TotalExposure"
"9","HoldfastDiam",0.395286195286195,0.395286195286195,"ns","negative",NA,"Model1_TotalExposure"
"10","Depth",0.867535353535353,0.132464646464647,"ns","positive",NA,"Model1_TotalExposure"
"11","z[6]",0.884835016835017,0.115164983164983,"ns","positive",NA,"Model1_TotalExposure"
"12","z[7]",0.997252525252525,0.00274747474747472,"s","positive",0.00274747474747472,"Model1_TotalExposure"
"13","z[8]",0.464478114478114,0.464478114478114,"ns","negative",NA,"Model1_TotalExposure"
